name,height,weight,age,position,tempo,skok,league,club
Kevin De Bruyne,181,70,31,CM,77,65,Premier League,Manchester City
Kevin De Bruyne,181,70,31,CM,77,90,Premier League,Manchester City
Aymeric Laporte,191,85,29,CB,86,90,Premier League,Manchester City
Martin Ødegaard,178,68,24,CM,90,53,Premier League,Arsenal
Kieran Trippier,173,71,32,RB,90,88,Premier League,Newcastle Utd
Kolo Muani,187,73,24,ST,95,99,Bundesliga,Frankfurt
Niclas Füllkrug,189,83,30,ST,87,86,Bundesliga,Werder Bremen
Alphonso Davies,185,77,22,LB,99,87,Bundesliga,FC Bayern
Jeremie Frimpong,171,63,22,RWB,99,88,Bundesliga,Leverkusen
Gregor Kobel,195,88,25,GK,0,None,Bundesliga,Dortmund
Kaoru Mitoma,178,71,26,LW,97,87,Premier League,Brighton
Vincenzo Grifo,180,76,30,LM,93,75,Bundesliga,SC Freiburg
Kai Havertz,189,82,23,CAM,92,90,Premier League,Chelsea
Alisson,191,91,30,GK,0,None,Premier League,Liverpool
Tammy Abraham,195,86,25,ST,94,82,Serie A,Roma FC
Andrew Robertson,178,64,29,LB,93,75,Premier League,Liverpool
Ismaël Bennacer,175,70,25,CM,88,90,Serie A,Milan
Oleksandr Zinchenko,175,64,26,LB,91,87,Premier League,Arsenal
William Saliba,192,85,22,CB,87,82,Premier League,Arsenal
N'Golo Kanté,168,70,32,CDM,81,80,Premier League,Chelsea
Virgil van Dijk,193,92,31,CB,83,90,Premier League,Liverpool
Jamal Musiala,183,70,20,CAM,87,69,Bundesliga,FC Bayern
Casemiro,185,84,31,CDM,68,88,Premier League,Manchester Utd
Harry Kane,188,89,29,ST,86,85,Premier League,Spurs
Sadio Mané,174,69,31,LM,93,90,Bundesliga,FC Bayern
Julián Álvarez,173,71,23,ST,90,74,Premier League,Manchester City
Mohamed Salah,175,71,30,ST,92,72,Premier League,Liverpool
Mohamed Salah,175,71,30,RW,92,72,Premier League,Liverpool
Kevin De Bruyne,181,70,31,CM,75,65,Premier League,Manchester City
Georginio Wijnaldum,175,74,32,CM,87,92,Serie A,Roma FC
Erling Haaland,195,94,22,ST,92,77,Premier League,Manchester City
Maxence Lacroix,190,88,23,CB,91,93,Bundesliga,VfL Wolfsburg
Reece James,178,87,23,RWB,90,80,Premier League,Chelsea
Leroy Sané,183,80,27,LM,95,72,Bundesliga,FC Bayern
Palhinha,190,85,27,CDM,80,90,Premier League,Fulham
Allan Saint-Maximin,173,67,26,LW,96,84,Premier League,Newcastle Utd
Guerreiro,170,71,29,LB,88,77,Bundesliga,Dortmund
Ederson,188,86,29,GK,0,None,Premier League,Manchester City
Giovanni Reyna,185,79,20,CAM,92,80,Bundesliga,Dortmund
Thomas Müller,185,76,33,CAM,84,84,Bundesliga,FC Bayern
Nathan Aké,180,75,28,CB,86,99,Premier League,Manchester City
Heung Min Son,183,78,30,ST,90,62,Premier League,Spurs
David Ginola,186,83,56,ST,92,92,Premier League,Nieznany klub
Bruno Guimarães,182,74,25,CM,83,72,Premier League,Newcastle Utd
Kalidou Koulibaly,187,89,31,CB,85,86,Premier League,Chelsea
Roberto Firmino,181,76,31,CF,88,88,Premier League,Liverpool
Lúcio,188,84,45,CB,85,88,Bundesliga,Nieznany klub
Rafael Leão,188,81,23,ST,96,70,Serie A,Milan
Harry Kane,188,89,29,ST,84,82,Premier League,Spurs
Casemiro,185,84,31,CM,76,87,Premier League,Manchester Utd
João Cancelo,182,74,29,LB,90,80,Premier League,Manchester City
N'Golo Kanté,168,70,32,CDM,80,78,Premier League,Chelsea
Joshua Kimmich,177,75,28,CM,78,81,Bundesliga,FC Bayern
Casemiro,185,84,31,CDM,66,87,Premier League,Manchester Utd
Mohamed Salah,175,71,30,RM,91,71,Premier League,Liverpool
Rudolf Völler,179,0,63,ST,91,None,Serie A,Nieznany klub
Cristiano Ronaldo,187,83,38,ST,83,96,Premier League,Manchester Utd
Heung Min Son,183,78,30,LW,90,64,Premier League,Spurs
Kevin De Bruyne,181,70,31,CM,74,63,Premier League,Manchester City
Rafael Leão,188,81,23,LW,96,70,Serie A,Milan
Danilho Doekhi,190,86,24,CB,84,97,Bundesliga,Union Berlin
Nico Schlotterbeck,191,86,23,CB,86,90,Bundesliga,Dortmund
Marcus Thuram,192,90,25,ST,94,85,Bundesliga,M'gladbach
Jonas Hofmann,176,73,30,CAM,85,74,Bundesliga,M'gladbach
Ben White,185,77,25,CB,85,88,Premier League,Arsenal
Ilkay Gündogan,180,80,32,CM,85,70,Premier League,Manchester City
Romelu Lukaku,191,94,30,ST,88,80,Serie A,Inter
Moisés Caicedo,178,71,21,CDM,90,97,Premier League,Brighton
David De Gea,192,76,32,GK,0,None,Premier League,Manchester Utd
Deulofeu,177,73,29,LW,96,65,Serie A,Udinese
Aaron Ramsdale,191,77,25,GK,0,None,Premier League,Arsenal
Dani Olmo,179,72,25,CAM,82,66,Bundesliga,RB Leipzig
Yaya Touré,188,90,40,CDM,84,73,Premier League,Nieznany klub
Joe Cole,176,73,41,CAM,92,82,Premier League,Nieznany klub
Leonardo Bonucci,190,85,36,CB,84,95,Serie A,Juventus
Ederson,188,86,29,GK,0,None,Premier League,Manchester City
Oleksandr Zinchenko,175,64,26,LB,90,85,Premier League,Arsenal
Oleksandr Zinchenko,175,64,26,LB,90,85,Premier League,Arsenal
Harry Kewell,180,74,44,LW,93,80,Premier League,Nieznany klub
De Ketelaere,192,79,22,ST,88,92,Serie A,Milan
De Ketelaere,192,79,22,LW,91,78,Serie A,Milan
Mats Hummels,191,94,34,CB,84,80,Bundesliga,Dortmund
Joshua Kimmich,177,75,28,CDM,70,81,Bundesliga,FC Bayern
Erling Haaland,195,94,22,ST,91,76,Premier League,Manchester City
Gabriel Martinelli,178,75,21,LM,95,64,Premier League,Arsenal
Leon Goretzka,189,82,28,CM,82,85,Bundesliga,FC Bayern
Rúben Dias,187,82,26,CB,82,84,Premier League,Manchester City
Mario Gomez,189,84,37,ST,86,88,Serie A,Nieznany klub
Mario Gomez,189,84,37,ST,86,88,Bundesliga,Nieznany klub
Jack Grealish,180,81,27,CAM,88,37,Premier League,Manchester City
Zlatan Ibrahimovic,195,102,41,ST,90,92,Serie A,Milan
Jude Bellingham,186,75,19,CM,82,82,Bundesliga,Dortmund
Khvicha Kvaratskhelia,183,70,22,LW,93,65,Serie A,Napoli
Enzo Fernández,180,77,22,CM,86,80,Premier League,Chelsea
Phil Foden,171,69,23,RW,88,56,Premier League,Manchester City
Emiliano Martínez,195,88,30,GK,0,None,Premier League,Aston Villa
Ángel Di María,180,69,35,LW,90,78,Serie A,Juventus
Paul Pogba,191,84,30,CM,81,90,Serie A,Juventus
Jadon Sancho,180,76,23,CAM,87,60,Premier League,Manchester Utd
Richarlison,181,71,26,ST,90,95,Premier League,Spurs
Karim Adeyemi,177,75,21,ST,96,89,Bundesliga,Dortmund
Mykhailo Mudryk,175,61,22,LM,94,69,Premier League,Chelsea
Trent Alexander-Arnold,180,69,24,RB,86,72,Premier League,Liverpool
Harry Kane,188,89,29,ST,70,80,Premier League,Spurs
Bruno Fernandes,179,69,28,CAM,80,75,Premier League,Manchester Utd
Casemiro,185,84,31,CDM,65,86,Premier League,Manchester Utd
João Cancelo,182,74,29,CM,87,77,Premier League,Manchester City
Sadio Mané,174,69,31,LM,91,88,Bundesliga,FC Bayern
Franck Ribéry,170,72,40,LW,89,41,Serie A,Salernitana
Bernardo Silva,173,64,28,CAM,82,57,Premier League,Manchester City
Jürgen Kohler,186,84,57,CB,75,90,Premier League,Nieznany klub
Franck Ribéry,170,72,40,CF,90,45,Serie A,Salernitana
Lúcio,188,84,45,CB,83,87,Bundesliga,Nieznany klub
Heung Min Son,183,78,30,LW,89,61,Premier League,Spurs
Mohamed Salah,175,71,30,RW,90,69,Premier League,Liverpool
Virgil van Dijk,193,92,31,CB,81,88,Premier League,Liverpool
Manuel Neuer,193,93,37,GK,57,77,Bundesliga,FC Bayern
Cristiano Ronaldo,187,83,38,ST,81,95,Premier League,Manchester Utd
Donyell Malen,178,77,24,ST,94,91,Bundesliga,Dortmund
Douglas Luiz,175,66,25,CDM,82,78,Premier League,Aston Villa
Danilo,184,78,31,CB,85,84,Serie A,Juventus
Declan Rice,185,80,24,CDM,84,82,Premier League,West Ham
Min Jae Kim,190,81,26,CB,88,89,Serie A,Napoli
Joelinton,186,81,26,CM,87,85,Premier League,Newcastle Utd
Ollie Watkins,180,78,27,ST,93,99,Premier League,Aston Villa
Riyad Mahrez,179,67,32,RW,86,61,Premier League,Manchester City
Rafael Leão,188,81,23,LW,95,69,Serie A,Milan
Jerzy Dudek,187,78,50,GK,0,None,Premier League,Nieznany klub
Ole Gunnar Solskjær,178,74,50,ST,89,72,Premier League,Nieznany klub
Claudio Marchisio,180,74,37,CM,84,71,Serie A,Nieznany klub
Darwin Núñez,186,80,23,LW,95,82,Premier League,Liverpool
Darwin Núñez,186,80,23,LW,95,82,Premier League,Liverpool
Michail Antonio,178,82,33,ST,91,94,Premier League,West Ham
Dani Olmo,179,72,25,RW,80,65,Bundesliga,RB Leipzig
Alex Sandro,180,80,32,LB,89,88,Serie A,Juventus
El Shaarawy,178,73,30,CF,94,89,Serie A,Roma FC
Timo Werner,180,76,27,ST,96,85,Bundesliga,RB Leipzig
Christopher Nkunku,175,73,25,CF,91,65,Bundesliga,RB Leipzig
Bruno Fernandes,179,69,28,CAM,78,76,Premier League,Manchester Utd
Guerreiro,170,71,29,CM,83,67,Bundesliga,Dortmund
Freddie Ljungberg,175,73,46,LM,91,72,Premier League,Nieznany klub
Brahim Díaz,171,59,23,CAM,89,84,Serie A,Milan
Florian Wirtz,176,70,20,CAM,87,59,Bundesliga,Leverkusen
Giovanni Di Lorenzo,183,83,29,RB,91,91,Serie A,Napoli
Matthijs de Ligt,189,89,23,CB,81,98,Bundesliga,FC Bayern
João Félix,181,70,23,CF,90,85,Premier League,Chelsea
Alex Iwobi,185,75,27,CAM,89,None,Premier League,Everton
William Saliba,192,85,22,CB,85,81,Premier League,Arsenal
Milan Škriniar,188,80,28,CB,82,88,Serie A,Inter
Saïd Benrahma,172,67,27,LM,88,71,Premier League,West Ham
Alexander Isak,192,77,23,ST,92,83,Premier League,Newcastle Utd
Paulo Dybala,177,75,29,CF,85,83,Serie A,Roma FC
Antonio Di Natale,170,69,45,ST,92,74,Serie A,Nieznany klub
Diogo Jota,178,73,26,CF,89,88,Premier League,Liverpool
Nicolò Barella,172,68,26,CM,82,85,Serie A,Inter
Julian Brandt,185,83,27,RW,82,71,Bundesliga,Dortmund
Mason Mount,180,74,24,CAM,86,63,Premier League,Chelsea
Martin Ødegaard,178,68,24,CAM,86,50,Premier League,Arsenal
Marco Reus,180,71,33,CAM,87,82,Bundesliga,Dortmund
Keylor Navas,185,80,36,GK,0,None,Premier League,Nott'm Forest
Eddie Nketiah,180,73,23,ST,93,99,Premier League,Arsenal
Tyrell Malacia,169,67,23,LB,92,90,Premier League,Manchester Utd
Kevin Trapp,189,84,32,GK,0,None,Bundesliga,Frankfurt
Mike Maignan,191,89,27,GK,0,None,Serie A,Milan
Bukayo Saka,178,65,21,RM,92,70,Premier League,Arsenal
Anthony Martial,184,76,27,ST,92,80,Premier League,Manchester Utd
Wojciech Szczesny,195,90,33,GK,0,None,Serie A,Juventus
Joško Gvardiol,185,80,21,CB,88,90,Bundesliga,RB Leipzig
Riyad Mahrez,179,67,32,RW,88,61,Premier League,Manchester City
Fábio Vieira,176,61,22,CM,85,70,Premier League,Arsenal
Aymeric Laporte,191,85,29,CB,82,88,Premier League,Manchester City
Lautaro Martínez,174,72,25,ST,86,93,Serie A,Inter
Theo Hernández,184,81,25,LB,96,71,Serie A,Milan
Fabinho,188,78,29,CDM,78,78,Premier League,Liverpool
Kingsley Coman,179,75,26,LM,94,82,Bundesliga,FC Bayern
Jack Butland,196,95,30,GK,0,None,Premier League,Crystal Palace
Kalidou Koulibaly,187,89,31,CB,83,85,Premier League,Chelsea
Christopher Nkunku,175,73,25,CF,91,67,Bundesliga,RB Leipzig
Leon Goretzka,189,82,28,CM,80,82,Bundesliga,FC Bayern
Sergej Milinkovic-Savic,191,76,28,CM,75,91,Serie A,SS Lazio
Gabriel Jesus,175,73,26,RW,90,86,Premier League,Arsenal
Andrew Robertson,178,64,29,LB,90,72,Premier League,Liverpool
Thiago,174,70,32,CM,85,89,Premier League,Liverpool
Sadio Mané,174,69,31,LM,90,93,Bundesliga,FC Bayern
Erling Haaland,195,94,22,ST,90,75,Premier League,Manchester City
Aubameyang,187,80,33,ST,91,None,Premier League,Chelsea
João Cancelo,182,74,29,LB,86,74,Premier League,Manchester City
Tomas Brolin,176,0,53,ST,90,None,Serie A,Nieznany klub
Javier Mascherano,174,0,38,CDM,78,None,Premier League,Nieznany klub
Lucimar da Silva Ferreira,188,84,45,CB,82,86,Bundesliga,Nieznany klub
Rudi Völler,180,0,63,ST,89,94,Bundesliga,Nieznany klub
Jürgen Kohler,186,84,57,CB,71,89,Bundesliga,Nieznany klub
Ricardo Carvalho,183,0,45,CB,80,None,Premier League,Nieznany klub
Yaya Touré,188,90,40,CDM,82,73,Premier League,Nieznany klub
N'Golo Kanté,168,70,32,CDM,72,75,Premier League,Chelsea
Heung Min Son,183,78,30,LW,88,60,Premier League,Spurs
Harry Kane,188,89,29,ST,68,79,Premier League,Spurs
Alisson,191,91,30,GK,53,52,Premier League,Liverpool
Sadio Mané,174,69,31,LM,90,87,Bundesliga,FC Bayern
Joshua Kimmich,177,75,28,CDM,68,79,Bundesliga,FC Bayern
Ederson,188,86,29,GK,63,66,Premier League,Manchester City
Casemiro,185,84,31,CDM,63,85,Premier League,Manchester Utd
Lucas Paquetá,180,72,25,CM,81,85,Premier League,West Ham
Ramy Bensebaini,187,85,28,LB,86,94,Bundesliga,M'gladbach
Nicolò Barella,172,68,26,CM,81,80,Serie A,Inter
Rafael Leão,188,81,23,LW,94,67,Serie A,Milan
Kieran Trippier,173,71,32,RB,76,85,Premier League,Newcastle Utd
Michael Olise,178,68,21,RW,92,63,Premier League,Crystal Palace
Sergej Milinkovic-Savic,191,76,28,CM,71,90,Serie A,SS Lazio
Morgan Gibbs-White,178,70,23,CAM,88,70,Premier League,Nott'm Forest
Matheus Cunha,184,76,24,ST,90,81,Premier League,Wolves
Romelu Lukaku,191,94,30,ST,83,76,Serie A,Inter
Khvicha Kvaratskhelia,183,70,22,LW,92,72,Serie A,Napoli
Bukayo Saka,178,65,21,RW,91,60,Premier League,Arsenal
Antony,174,63,23,RW,97,64,Premier League,Manchester Utd
André Onana,190,93,27,GK,0,None,Serie A,Inter
Edmond Tapsoba,194,85,24,CB,80,86,Bundesliga,Leverkusen
Mike Maignan,191,89,27,GK,0,None,Serie A,Milan
Kai Havertz,189,82,23,ST,86,92,Premier League,Chelsea
Pedro,169,65,35,LW,90,75,Serie A,SS Lazio
Adrien Rabiot,192,80,28,CM,84,81,Serie A,Juventus
Georginio Wijnaldum,175,74,32,CDM,80,88,Serie A,Roma FC
Leroy Sané,183,80,27,RM,92,70,Bundesliga,FC Bayern
Emerson,181,79,24,RWB,90,91,Premier League,Spurs
Park Ji-sung,178,73,42,CM,86,74,Premier League,Nieznany klub
Dayot Upamecano,186,90,24,CB,85,94,Bundesliga,FC Bayern
Ismaël Bennacer,175,70,25,CDM,84,88,Serie A,Milan
Marcel Sabitzer,178,76,29,CM,82,79,Premier League,Manchester Utd
Domenico Berardi,183,72,28,RM,88,70,Serie A,Sassuolo
Scott McTominay,193,88,26,CDM,81,80,Premier League,Manchester Utd
Kevin Lasagna,186,80,30,ST,93,86,Serie A,Hellas Verona
Luis Díaz,180,73,26,LW,93,80,Premier League,Liverpool
Patrick Bamford,185,71,29,ST,90,72,Premier League,Leeds United
Dejan Kulusevski,186,75,23,RW,88,72,Premier League,Spurs
Jack Grealish,180,81,27,CAM,86,35,Premier League,Manchester City
Douglas Luiz,175,66,25,CDM,80,76,Premier League,Aston Villa
Victor Osimhen,185,78,24,ST,95,96,Serie A,Napoli
Thomas Müller,185,76,33,CAM,70,78,Bundesliga,FC Bayern
Wout Weghorst,197,84,30,ST,87,90,Premier League,Manchester Utd
Harvey Elliott,170,67,20,CAM,90,52,Premier League,Liverpool
Peter Crouch,201,75,42,ST,85,82,Premier League,Nieznany klub
Ledley King,188,0,42,CB,82,84,Premier League,Nieznany klub
Iván Córdoba,173,70,46,CB,87,95,Serie A,Nieznany klub
Lars Ricken,178,72,46,CAM,87,81,Bundesliga,Nieznany klub
Samuel Umtiti,182,75,29,CB,81,92,Serie A,Lecce
Marcus Rashford,186,70,25,LW,93,85,Premier League,Manchester Utd
Lucas Moura,174,70,30,RW,94,95,Premier League,Spurs
Kalvin Phillips,178,72,27,CDM,81,89,Premier League,Manchester City
Ciro Immobile,185,85,33,ST,87,86,Serie A,SS Lazio
Bruno Fernandes,179,69,28,RM,76,74,Premier League,Manchester Utd
Keylor Navas,185,80,36,GK,53,74,Premier League,Nott'm Forest
João Cancelo,182,74,29,LB,85,72,Bundesliga,FC Bayern
Victor Osimhen,185,78,24,ST,95,96,Serie A,Napoli
Illan Meslier,196,74,23,GK,0,None,Premier League,Leeds United
Fabio Carvalho,175,66,20,CAM,89,84,Premier League,Liverpool
Jacob Ramsey,180,72,22,CM,85,87,Premier League,Aston Villa
Nicolò Fagioli,178,72,22,CM,86,67,Serie A,Juventus
Chris Smalling,194,81,33,CB,84,89,Serie A,Roma FC
Nicolò Rovella,179,70,21,CM,83,80,Serie A,AC Monza
Stevan Jovetic,183,79,33,ST,90,85,Bundesliga,Hertha Berlin
Sébastien Haller,190,82,28,ST,84,99,Bundesliga,Dortmund
Giovanni Di Lorenzo,183,83,29,RB,90,89,Serie A,Napoli
Vincenzo Grifo,180,76,30,LM,83,59,Bundesliga,SC Freiburg
Rodri,191,82,26,CDM,60,73,Premier League,Manchester City
Dušan Vlahovic,190,75,23,ST,85,72,Serie A,Juventus
Julian Brandt,185,83,27,RM,77,70,Bundesliga,Dortmund
Federico Chiesa,175,70,25,LW,94,61,Serie A,Juventus
Moussa Diaby,170,68,23,RM,97,73,Bundesliga,Leverkusen
Anthony Gordon,183,74,22,LW,92,70,Premier League,Newcastle Utd
Tammy Abraham,195,86,25,ST,90,79,Serie A,Roma FC
Kingsley Coman,179,75,26,LM,94,78,Bundesliga,FC Bayern
Jorginho,180,68,31,CM,83,67,Premier League,Arsenal
Lautaro Martínez,174,72,25,ST,85,91,Serie A,Inter
Jonas Hofmann,176,73,30,CAM,83,70,Bundesliga,M'gladbach
Dani Olmo,179,72,25,CAM,77,64,Bundesliga,RB Leipzig
Anthony Elanga,178,75,21,RW,92,88,Premier League,Manchester Utd
Marc Guehi,182,82,22,CB,82,76,Premier League,Crystal Palace
Jesper Lindstrøm,182,66,23,CAM,94,64,Bundesliga,Frankfurt
Fred,169,62,30,CM,85,94,Premier League,Manchester Utd
Paulo Dybala,177,75,29,ST,83,80,Serie A,Roma FC
Thiago Silva,183,79,38,CB,53,93,Premier League,Chelsea
Edin Džeko,193,80,37,ST,71,68,Serie A,Inter
Ilkay Gündogan,180,80,32,CM,78,66,Premier League,Manchester City
Matthijs de Ligt,189,89,23,CB,80,96,Bundesliga,FC Bayern
El Shaarawy,178,73,30,CF,93,87,Serie A,Roma FC
Riyad Mahrez,179,67,32,RM,84,60,Premier League,Manchester City
Alphonso Davies,185,77,22,LB,97,82,Bundesliga,FC Bayern
Borré,174,70,27,ST,87,91,Bundesliga,Frankfurt
Coutinho,172,68,30,CAM,80,63,Premier League,Aston Villa
Martin Ødegaard,178,68,24,CM,85,49,Premier League,Arsenal
Matteo Politano,171,67,29,ST,92,56,Serie A,Napoli
Jamie Vardy,179,74,36,ST,88,83,Premier League,Leicester City
Richarlison,181,71,26,ST,89,94,Premier League,Spurs
Leroy Sané,183,80,27,CAM,92,70,Bundesliga,FC Bayern
Marcus Rashford,186,70,25,LW,92,84,Premier League,Manchester Utd
Bukayo Saka,178,65,21,RM,91,62,Premier League,Arsenal
Youri Tielemans,176,72,26,CDM,73,73,Premier League,Leicester City
Dušan Vlahovic,190,75,23,ST,86,76,Serie A,Juventus
Diogo Dalot,184,76,24,RB,89,96,Premier League,Manchester Utd
Thiago Silva,183,79,38,CB,77,96,Premier League,Chelsea
Fikayo Tomori,185,79,25,CB,88,87,Serie A,Milan
Raphaël Varane,191,81,30,CB,85,85,Premier League,Manchester Utd
Vanja Milinkovic-Savic,202,90,26,GK,0,None,Serie A,Torino
Georginio Wijnaldum,175,74,32,CM,78,88,Serie A,Roma FC
Kai Havertz,189,82,23,CAM,88,89,Premier League,Chelsea
Freddie Ljungberg,175,73,46,LM,90,71,Premier League,Nieznany klub
Jorge Campos,170,65,56,GK,0,None,Premier League,Nieznany klub
Reece James,178,87,23,RW,88,80,Premier League,Chelsea
Theo Hernández,184,81,25,LW,95,70,Serie A,Milan
Kevin Trapp,189,84,32,GK,0,None,Bundesliga,Frankfurt
Mason Mount,180,74,24,CAM,85,62,Premier League,Chelsea
Robbie Keane,175,73,42,ST,90,75,Premier League,Nieznany klub
Filip Kostic,184,84,30,LM,90,74,Serie A,Juventus
Romelu Lukaku,191,94,30,ST,87,78,Serie A,Inter
Marcelo Brozovic,181,68,30,CDM,75,73,Serie A,Inter
Tim Cahill,178,76,43,ST,87,99,Premier League,Nieznany klub
Joe Cole,176,73,41,LM,90,79,Premier League,Nieznany klub
Erling Haaland,195,94,22,ST,89,77,Premier League,Manchester City
Phil Foden,171,69,23,LW,85,54,Premier League,Manchester City
Thomas Müller,185,76,33,CAM,78,82,Bundesliga,FC Bayern
Claudio Marchisio,180,74,37,CM,83,70,Serie A,Nieznany klub
Hidetoshi Nakata,175,0,46,CAM,87,None,Serie A,Nieznany klub
Harry Kewell,180,74,44,CF,91,78,Premier League,Nieznany klub
Dirk Kuyt,183,84,42,RM,87,83,Premier League,Nieznany klub
Jay-Jay Okocha,173,70,49,CAM,87,54,Premier League,Nieznany klub
Edin Džeko,193,80,37,ST,89,70,Serie A,Inter
Diego Milito,183,0,43,ST,83,84,Serie A,Nieznany klub
Antonio Di Natale,170,69,45,ST,90,72,Serie A,Nieznany klub
Mario Gomez,189,84,37,ST,83,85,Bundesliga,Nieznany klub
Erling Haaland,195,94,22,ST,89,74,Premier League,Manchester City
Bernardo Silva,173,64,28,CAM,77,51,Premier League,Manchester City
Rúben Dias,187,82,26,CB,63,78,Premier League,Manchester City
João Cancelo,182,74,29,LB,85,72,Premier League,Manchester City
Adam Hložek,188,74,20,ST,89,80,Bundesliga,Leverkusen
Victor Lindelöf,187,80,28,CB,80,89,Premier League,Manchester Utd
Nicolás González,180,72,25,RW,94,82,Serie A,Fiorentina
Jack Grealish,180,81,27,LW,80,33,Premier League,Manchester City
Marcus Thuram,192,90,25,ST,90,79,Bundesliga,M'gladbach
Benjamin Pavard,186,81,27,RB,78,96,Bundesliga,FC Bayern
Diogo Jota,178,73,26,LW,88,84,Premier League,Liverpool
Noni Madueke,182,70,21,RW,94,92,Premier League,Chelsea
Simon Kjær,190,86,34,CB,83,83,Serie A,Milan
Piero Hincapié,183,66,21,CB,88,90,Bundesliga,Leverkusen
Matteo Darmian,182,70,33,CB,80,92,Serie A,Inter
Matteo Pessina,183,75,26,CAM,86,66,Serie A,AC Monza
Matteo Pessina,183,75,26,CAM,86,66,Serie A,AC Monza
Ridle Baku,176,75,25,RM,90,80,Bundesliga,VfL Wolfsburg
Thomas Meunier,191,90,31,RB,89,80,Bundesliga,Dortmund
Jérôme Roussillon,175,80,30,LB,91,79,Bundesliga,Union Berlin
Junior Firpo,184,78,26,LB,90,84,Premier League,Leeds United
Exequiel Palacios,177,67,24,CDM,77,79,Bundesliga,Leverkusen
Ángel Di María,180,69,35,RW,83,76,Serie A,Juventus
Luka Jovic,182,85,25,ST,87,85,Serie A,Fiorentina
Daniel-Kofi Kyereh,179,73,27,LW,93,97,Bundesliga,SC Freiburg
Niklas Süle,195,99,27,CB,75,61,Bundesliga,Dortmund
Kaoru Mitoma,178,71,26,LM,93,84,Premier League,Brighton
Dominik Szoboszlai,186,74,22,CAM,86,79,Bundesliga,RB Leipzig
Kyle Walker-Peters,174,64,26,RB,87,87,Premier League,Southampton
Guerreiro,170,71,29,CM,81,59,Bundesliga,Dortmund
Mateo Kovacic,176,80,29,CM,74,79,Premier League,Chelsea
Arnaut Danjuma,178,74,26,LM,92,73,Premier League,Spurs
Antonio Sanabria,181,73,27,ST,88,84,Serie A,Torino
Manuel Locatelli,185,75,25,CDM,79,76,Serie A,Juventus
Benjamin Henrichs,185,79,26,RWB,90,78,Bundesliga,RB Leipzig
Jamie Bynoe-Gittens,175,70,18,LM,92,95,Bundesliga,Dortmund
Mattia Zaccagni,177,63,27,LW,90,54,Serie A,SS Lazio
Eljif Elmas,184,74,23,CAM,86,54,Serie A,Napoli
Zambo Anguissa,184,78,27,CM,85,81,Serie A,Napoli
Gregor Kobel,195,88,25,GK,0,None,Bundesliga,Dortmund
Phil Foden,171,69,23,RW,84,52,Premier League,Manchester City
Declan Rice,185,80,24,CDM,75,78,Premier League,West Ham
Jacob Murphy,179,74,28,RM,92,60,Premier League,Newcastle Utd
John Stones,188,76,29,CB,82,90,Premier League,Manchester City
