name,height,weight,age,position,tempo,skok,league,club
Casemiro,185,84,31,CDM,66,87,13,11
Mohamed Salah,175,71,30,RM,91,71,13,9
Rudolf Völler,179,0,63,ST,91,None,31,114605
Cristiano Ronaldo,187,83,38,ST,83,96,13,11
Heung Min Son,183,78,30,LW,90,64,13,18
Kevin De Bruyne,181,70,31,CM,74,63,13,10
Rafael Leão,188,81,23,LW,96,70,31,47
Danilho Doekhi,190,86,24,CB,84,97,19,1831
Nico Schlotterbeck,191,86,23,CB,86,90,19,22
Marcus Thuram,192,90,25,ST,94,85,19,23
Jonas Hofmann,176,73,30,CAM,85,74,19,23
Ben White,185,77,25,CB,85,88,13,1
Ilkay Gündogan,180,80,32,CM,85,70,13,10
Romelu Lukaku,191,94,30,ST,88,80,31,44
Moisés Caicedo,178,71,21,CDM,90,97,13,1808
David De Gea,192,76,32,GK,0,None,13,11
Deulofeu,177,73,29,LW,96,65,31,55
Aaron Ramsdale,191,77,25,GK,0,None,13,1
Dani Olmo,179,72,25,CAM,82,66,19,112172
Yaya Touré,188,90,40,CDM,84,73,13,114605
Joe Cole,176,73,41,CAM,92,82,13,114605
Leonardo Bonucci,190,85,36,CB,84,95,31,45
Ederson,188,86,29,GK,0,None,13,10
Oleksandr Zinchenko,175,64,26,LB,90,85,13,1
Oleksandr Zinchenko,175,64,26,LB,90,85,13,1
Harry Kewell,180,74,44,LW,93,80,13,114605
De Ketelaere,192,79,22,ST,88,92,31,47
De Ketelaere,192,79,22,LW,91,78,31,47
Mats Hummels,191,94,34,CB,84,80,19,22
Joshua Kimmich,177,75,28,CDM,70,81,19,21
Erling Haaland,195,94,22,ST,91,76,13,10
Gabriel Martinelli,178,75,21,LM,95,64,13,1
Leon Goretzka,189,82,28,CM,82,85,19,21
Rúben Dias,187,82,26,CB,82,84,13,10
Mario Gomez,189,84,37,ST,86,88,31,114605
Mario Gomez,189,84,37,ST,86,88,19,114605
Jack Grealish,180,81,27,CAM,88,37,13,10
Zlatan Ibrahimovic,195,102,41,ST,90,92,31,47
Jude Bellingham,186,75,19,CM,82,82,19,22
Khvicha Kvaratskhelia,183,70,22,LW,93,65,31,116365
Enzo Fernández,180,77,22,CM,86,80,13,5
Phil Foden,171,69,23,RW,88,56,13,10
Emiliano Martínez,195,88,30,GK,0,None,13,2
Ángel Di María,180,69,35,LW,90,78,31,45
Paul Pogba,191,84,30,CM,81,90,31,45
Jadon Sancho,180,76,23,CAM,87,60,13,11
Richarlison,181,71,26,ST,90,95,13,18
Karim Adeyemi,177,75,21,ST,96,89,19,22
Mykhailo Mudryk,175,61,22,LM,94,69,13,5
Trent Alexander-Arnold,180,69,24,RB,86,72,13,9
Harry Kane,188,89,29,ST,70,80,13,18
Bruno Fernandes,179,69,28,CAM,80,75,13,11
Casemiro,185,84,31,CDM,65,86,13,11
João Cancelo,182,74,29,CM,87,77,13,10
Sadio Mané,174,69,31,LM,91,88,19,21
Franck Ribéry,170,72,40,LW,89,41,31,110373
Bernardo Silva,173,64,28,CAM,82,57,13,10
Jürgen Kohler,186,84,57,CB,75,90,13,114605
Franck Ribéry,170,72,40,CF,90,45,31,110373
Lúcio,188,84,45,CB,83,87,19,114605
Heung Min Son,183,78,30,LW,89,61,13,18
Mohamed Salah,175,71,30,RW,90,69,13,9
Virgil van Dijk,193,92,31,CB,81,88,13,9
Manuel Neuer,193,93,37,GK,57,77,19,21
Cristiano Ronaldo,187,83,38,ST,81,95,13,11
Donyell Malen,178,77,24,ST,94,91,19,22
Douglas Luiz,175,66,25,CDM,82,78,13,2
Danilo,184,78,31,CB,85,84,31,45
Declan Rice,185,80,24,CDM,84,82,13,19
Min Jae Kim,190,81,26,CB,88,89,31,116365
Joelinton,186,81,26,CM,87,85,13,13
Ollie Watkins,180,78,27,ST,93,99,13,2
Riyad Mahrez,179,67,32,RW,86,61,13,10
Rafael Leão,188,81,23,LW,95,69,31,47
Jerzy Dudek,187,78,50,GK,0,None,13,114605
Ole Gunnar Solskjær,178,74,50,ST,89,72,13,114605
Claudio Marchisio,180,74,37,CM,84,71,31,114605
Darwin Núñez,186,80,23,LW,95,82,13,9
Darwin Núñez,186,80,23,LW,95,82,13,9
Michail Antonio,178,82,33,ST,91,94,13,19
Dani Olmo,179,72,25,RW,80,65,19,112172
Alex Sandro,180,80,32,LB,89,88,31,45
El Shaarawy,178,73,30,CF,94,89,31,114912
Timo Werner,180,76,27,ST,96,85,19,112172
Christopher Nkunku,175,73,25,CF,91,65,19,112172
Bruno Fernandes,179,69,28,CAM,78,76,13,11
Guerreiro,170,71,29,CM,83,67,19,22
Freddie Ljungberg,175,73,46,LM,91,72,13,114605
Brahim Díaz,171,59,23,CAM,89,84,31,47
Florian Wirtz,176,70,20,CAM,87,59,19,32
Giovanni Di Lorenzo,183,83,29,RB,91,91,31,116365
Matthijs de Ligt,189,89,23,CB,81,98,19,21
João Félix,181,70,23,CF,90,85,13,5
Alex Iwobi,185,75,27,CAM,89,None,13,7
William Saliba,192,85,22,CB,85,81,13,1
Milan Škriniar,188,80,28,CB,82,88,31,44
Saïd Benrahma,172,67,27,LM,88,71,13,19
Alexander Isak,192,77,23,ST,92,83,13,13
Paulo Dybala,177,75,29,CF,85,83,31,114912
Antonio Di Natale,170,69,45,ST,92,74,31,114605
Diogo Jota,178,73,26,CF,89,88,13,9
Nicolò Barella,172,68,26,CM,82,85,31,44
Julian Brandt,185,83,27,RW,82,71,19,22
Mason Mount,180,74,24,CAM,86,63,13,5
Martin Ødegaard,178,68,24,CAM,86,50,13,1
Marco Reus,180,71,33,CAM,87,82,19,22
Keylor Navas,185,80,36,GK,0,None,13,14
Eddie Nketiah,180,73,23,ST,93,99,13,1
Tyrell Malacia,169,67,23,LB,92,90,13,11
Kevin Trapp,189,84,32,GK,0,None,19,1824
Mike Maignan,191,89,27,GK,0,None,31,47
Bukayo Saka,178,65,21,RM,92,70,13,1
Anthony Martial,184,76,27,ST,92,80,13,11
Wojciech Szczesny,195,90,33,GK,0,None,31,45
Joško Gvardiol,185,80,21,CB,88,90,19,112172
Riyad Mahrez,179,67,32,RW,88,61,13,10
Fábio Vieira,176,61,22,CM,85,70,13,1
Aymeric Laporte,191,85,29,CB,82,88,13,10
Lautaro Martínez,174,72,25,ST,86,93,31,44
Theo Hernández,184,81,25,LB,96,71,31,47
Fabinho,188,78,29,CDM,78,78,13,9
Kingsley Coman,179,75,26,LM,94,82,19,21
Jack Butland,196,95,30,GK,0,None,13,1799
Kalidou Koulibaly,187,89,31,CB,83,85,13,5
Christopher Nkunku,175,73,25,CF,91,67,19,112172
Leon Goretzka,189,82,28,CM,80,82,19,21
Sergej Milinkovic-Savic,191,76,28,CM,75,91,31,115841
Gabriel Jesus,175,73,26,RW,90,86,13,1
Andrew Robertson,178,64,29,LB,90,72,13,9
Thiago,174,70,32,CM,85,89,13,9
Sadio Mané,174,69,31,LM,90,93,19,21
Erling Haaland,195,94,22,ST,90,75,13,10
Aubameyang,187,80,33,ST,91,None,13,5
João Cancelo,182,74,29,LB,86,74,13,10
Tomas Brolin,176,0,53,ST,90,None,31,114605
Javier Mascherano,174,0,38,CDM,78,None,13,114605
Lucimar da Silva Ferreira,188,84,45,CB,82,86,19,114605
Rudi Völler,180,0,63,ST,89,94,19,114605
Jürgen Kohler,186,84,57,CB,71,89,19,114605
Ricardo Carvalho,183,0,45,CB,80,None,13,114605
Yaya Touré,188,90,40,CDM,82,73,13,114605
N'Golo Kanté,168,70,32,CDM,72,75,13,5
Heung Min Son,183,78,30,LW,88,60,13,18
Harry Kane,188,89,29,ST,68,79,13,18
Alisson,191,91,30,GK,53,52,13,9
Sadio Mané,174,69,31,LM,90,87,19,21
Joshua Kimmich,177,75,28,CDM,68,79,19,21
Ederson,188,86,29,GK,63,66,13,10
Casemiro,185,84,31,CDM,63,85,13,11
Lucas Paquetá,180,72,25,CM,81,85,13,19
Ramy Bensebaini,187,85,28,LB,86,94,19,23
Nicolò Barella,172,68,26,CM,81,80,31,44
Rafael Leão,188,81,23,LW,94,67,31,47
Kieran Trippier,173,71,32,RB,76,85,13,13
Michael Olise,178,68,21,RW,92,63,13,1799
Sergej Milinkovic-Savic,191,76,28,CM,71,90,31,115841
Morgan Gibbs-White,178,70,23,CAM,88,70,13,14
Matheus Cunha,184,76,24,ST,90,81,13,110
Romelu Lukaku,191,94,30,ST,83,76,31,44
Khvicha Kvaratskhelia,183,70,22,LW,92,72,31,116365
Bukayo Saka,178,65,21,RW,91,60,13,1
Antony,174,63,23,RW,97,64,13,11
André Onana,190,93,27,GK,0,None,31,44
Edmond Tapsoba,194,85,24,CB,80,86,19,32
Mike Maignan,191,89,27,GK,0,None,31,47
Kai Havertz,189,82,23,ST,86,92,13,5
Pedro,169,65,35,LW,90,75,31,115841
Adrien Rabiot,192,80,28,CM,84,81,31,45
Georginio Wijnaldum,175,74,32,CDM,80,88,31,114912
Leroy Sané,183,80,27,RM,92,70,19,21
Emerson,181,79,24,RWB,90,91,13,18
Park Ji-sung,178,73,42,CM,86,74,13,114605
Dayot Upamecano,186,90,24,CB,85,94,19,21
Ismaël Bennacer,175,70,25,CDM,84,88,31,47
Marcel Sabitzer,178,76,29,CM,82,79,13,11
Domenico Berardi,183,72,28,RM,88,70,31,111974
Scott McTominay,193,88,26,CDM,81,80,13,11
Kevin Lasagna,186,80,30,ST,93,86,31,206
Luis Díaz,180,73,26,LW,93,80,13,9
Patrick Bamford,185,71,29,ST,90,72,13,8
Dejan Kulusevski,186,75,23,RW,88,72,13,18
Jack Grealish,180,81,27,CAM,86,35,13,10
Douglas Luiz,175,66,25,CDM,80,76,13,2
Victor Osimhen,185,78,24,ST,95,96,31,116365
Thomas Müller,185,76,33,CAM,70,78,19,21
Wout Weghorst,197,84,30,ST,87,90,13,11
Harvey Elliott,170,67,20,CAM,90,52,13,9
Peter Crouch,201,75,42,ST,85,82,13,114605
Ledley King,188,0,42,CB,82,84,13,114605
Iván Córdoba,173,70,46,CB,87,95,31,114605
Lars Ricken,178,72,46,CAM,87,81,19,114605
Samuel Umtiti,182,75,29,CB,81,92,31,347
Marcus Rashford,186,70,25,LW,93,85,13,11
Lucas Moura,174,70,30,RW,94,95,13,18
Kalvin Phillips,178,72,27,CDM,81,89,13,10
Ciro Immobile,185,85,33,ST,87,86,31,115841
Bruno Fernandes,179,69,28,RM,76,74,13,11
Keylor Navas,185,80,36,GK,53,74,13,14
João Cancelo,182,74,29,LB,85,72,19,21
Victor Osimhen,185,78,24,ST,95,96,31,116365
Illan Meslier,196,74,23,GK,0,None,13,8
Fabio Carvalho,175,66,20,CAM,89,84,13,9
Jacob Ramsey,180,72,22,CM,85,87,13,2
Nicolò Fagioli,178,72,22,CM,86,67,31,45
Chris Smalling,194,81,33,CB,84,89,31,114912
Nicolò Rovella,179,70,21,CM,83,80,31,111811
Stevan Jovetic,183,79,33,ST,90,85,19,166
Sébastien Haller,190,82,28,ST,84,99,19,22
Giovanni Di Lorenzo,183,83,29,RB,90,89,31,116365
Vincenzo Grifo,180,76,30,LM,83,59,19,25
Rodri,191,82,26,CDM,60,73,13,10
Dušan Vlahovic,190,75,23,ST,85,72,31,45
Julian Brandt,185,83,27,RM,77,70,19,22
Federico Chiesa,175,70,25,LW,94,61,31,45
Moussa Diaby,170,68,23,RM,97,73,19,32
Anthony Gordon,183,74,22,LW,92,70,13,13
Tammy Abraham,195,86,25,ST,90,79,31,114912
Kingsley Coman,179,75,26,LM,94,78,19,21
Jorginho,180,68,31,CM,83,67,13,1
Lautaro Martínez,174,72,25,ST,85,91,31,44
Jonas Hofmann,176,73,30,CAM,83,70,19,23
Dani Olmo,179,72,25,CAM,77,64,19,112172
Anthony Elanga,178,75,21,RW,92,88,13,11
Marc Guehi,182,82,22,CB,82,76,13,1799
Jesper Lindstrøm,182,66,23,CAM,94,64,19,1824
Fred,169,62,30,CM,85,94,13,11
Paulo Dybala,177,75,29,ST,83,80,31,114912
Thiago Silva,183,79,38,CB,53,93,13,5
Edin Džeko,193,80,37,ST,71,68,31,44
Ilkay Gündogan,180,80,32,CM,78,66,13,10
Matthijs de Ligt,189,89,23,CB,80,96,19,21
El Shaarawy,178,73,30,CF,93,87,31,114912
Riyad Mahrez,179,67,32,RM,84,60,13,10
Alphonso Davies,185,77,22,LB,97,82,19,21
Borré,174,70,27,ST,87,91,19,1824
Coutinho,172,68,30,CAM,80,63,13,2
Martin Ødegaard,178,68,24,CM,85,49,13,1
Matteo Politano,171,67,29,ST,92,56,31,116365
Jamie Vardy,179,74,36,ST,88,83,13,95
Richarlison,181,71,26,ST,89,94,13,18
Leroy Sané,183,80,27,CAM,92,70,19,21
Marcus Rashford,186,70,25,LW,92,84,13,11
Bukayo Saka,178,65,21,RM,91,62,13,1
Youri Tielemans,176,72,26,CDM,73,73,13,95
Dušan Vlahovic,190,75,23,ST,86,76,31,45
Diogo Dalot,184,76,24,RB,89,96,13,11
Thiago Silva,183,79,38,CB,77,96,13,5
Fikayo Tomori,185,79,25,CB,88,87,31,47
Raphaël Varane,191,81,30,CB,85,85,13,11
Vanja Milinkovic-Savic,202,90,26,GK,0,None,31,54
Georginio Wijnaldum,175,74,32,CM,78,88,31,114912
Kai Havertz,189,82,23,CAM,88,89,13,5
Freddie Ljungberg,175,73,46,LM,90,71,13,114605
Jorge Campos,170,65,56,GK,0,None,13,114605
Reece James,178,87,23,RW,88,80,13,5
Theo Hernández,184,81,25,LW,95,70,31,47
Kevin Trapp,189,84,32,GK,0,None,19,1824
Mason Mount,180,74,24,CAM,85,62,13,5
Robbie Keane,175,73,42,ST,90,75,13,114605
Filip Kostic,184,84,30,LM,90,74,31,45
Romelu Lukaku,191,94,30,ST,87,78,31,44
Marcelo Brozovic,181,68,30,CDM,75,73,31,44
Tim Cahill,178,76,43,ST,87,99,13,114605
Joe Cole,176,73,41,LM,90,79,13,114605
Erling Haaland,195,94,22,ST,89,77,13,10
Phil Foden,171,69,23,LW,85,54,13,10
Thomas Müller,185,76,33,CAM,78,82,19,21
Claudio Marchisio,180,74,37,CM,83,70,31,114605
Hidetoshi Nakata,175,0,46,CAM,87,None,31,114605
Harry Kewell,180,74,44,CF,91,78,13,114605
Dirk Kuyt,183,84,42,RM,87,83,13,114605
Jay-Jay Okocha,173,70,49,CAM,87,54,13,114605
Edin Džeko,193,80,37,ST,89,70,31,44
Diego Milito,183,0,43,ST,83,84,31,114605
Antonio Di Natale,170,69,45,ST,90,72,31,114605
Mario Gomez,189,84,37,ST,83,85,19,114605
Erling Haaland,195,94,22,ST,89,74,13,10
Bernardo Silva,173,64,28,CAM,77,51,13,10
Rúben Dias,187,82,26,CB,63,78,13,10
João Cancelo,182,74,29,LB,85,72,13,10
Adam Hložek,188,74,20,ST,89,80,19,32
Victor Lindelöf,187,80,28,CB,80,89,13,11
Nicolás González,180,72,25,RW,94,82,31,110374
Jack Grealish,180,81,27,LW,80,33,13,10
Marcus Thuram,192,90,25,ST,90,79,19,23
Benjamin Pavard,186,81,27,RB,78,96,19,21
Diogo Jota,178,73,26,LW,88,84,13,9
Noni Madueke,182,70,21,RW,94,92,13,5
Simon Kjær,190,86,34,CB,83,83,31,47
Piero Hincapié,183,66,21,CB,88,90,19,32
Matteo Darmian,182,70,33,CB,80,92,31,44
Matteo Pessina,183,75,26,CAM,86,66,31,111811
Matteo Pessina,183,75,26,CAM,86,66,31,111811
Ridle Baku,176,75,25,RM,90,80,19,175
Thomas Meunier,191,90,31,RB,89,80,19,22
Jérôme Roussillon,175,80,30,LB,91,79,19,1831
Junior Firpo,184,78,26,LB,90,84,13,8
Exequiel Palacios,177,67,24,CDM,77,79,19,32
Ángel Di María,180,69,35,RW,83,76,31,45
Luka Jovic,182,85,25,ST,87,85,31,110374
Daniel-Kofi Kyereh,179,73,27,LW,93,97,19,25
Niklas Süle,195,99,27,CB,75,61,19,22
Kaoru Mitoma,178,71,26,LM,93,84,13,1808
Dominik Szoboszlai,186,74,22,CAM,86,79,19,112172
Kyle Walker-Peters,174,64,26,RB,87,87,13,17
Guerreiro,170,71,29,CM,81,59,19,22
Mateo Kovacic,176,80,29,CM,74,79,13,5
Arnaut Danjuma,178,74,26,LM,92,73,13,18
Antonio Sanabria,181,73,27,ST,88,84,31,54
Manuel Locatelli,185,75,25,CDM,79,76,31,45
Benjamin Henrichs,185,79,26,RWB,90,78,19,112172
Jamie Bynoe-Gittens,175,70,18,LM,92,95,19,22
Mattia Zaccagni,177,63,27,LW,90,54,31,115841
Eljif Elmas,184,74,23,CAM,86,54,31,116365
Zambo Anguissa,184,78,27,CM,85,81,31,116365
Gregor Kobel,195,88,25,GK,0,None,19,22
Phil Foden,171,69,23,RW,84,52,13,10
Declan Rice,185,80,24,CDM,75,78,13,19
Jacob Murphy,179,74,28,RM,92,60,13,13
John Stones,188,76,29,CB,82,90,13,10
Angeliño,171,69,26,LWB,89,80,19,10029
Hirving Lozano,175,70,27,RW,97,76,31,116365
Luke Shaw,181,75,27,CB,85,92,13,11
Traorè,177,77,23,CAM,90,88,13,1943
Donny van de Beek,184,74,26,CM,80,None,13,11
Donyell Malen,178,77,24,ST,93,85,19,22
Wesley Fofana,190,76,22,CB,83,86,13,5
Leonardo Spinazzola,186,75,30,LWB,95,80,31,114912
Marco Reus,180,71,33,CAM,74,72,19,22
Marcel Halstenberg,188,87,31,CB,81,93,19,112172
Victor Osimhen,185,78,24,ST,94,94,31,116365
Joseph Willock,179,71,23,CM,86,79,13,13
Benoît Badiashile,194,75,22,CB,81,89,13,5
Ritsu Doan,172,70,24,RM,92,39,19,25
Bremer,188,82,26,CB,83,88,31,45
Domenico Berardi,183,72,28,RW,86,69,31,111974
Marcus Rashford,186,70,25,LW,92,83,13,11
Pierre Kalulu,184,69,22,CB,85,85,31,47
Theo Walcott,176,68,34,RW,99,68,13,17
Danilo,184,78,31,CB,80,82,31,45
Azpilicueta,178,77,33,CB,82,93,13,5
Domenico Berardi,183,72,28,RM,87,73,31,111974
Declan Rice,185,80,24,CDM,82,80,13,19
?tefan Radu,183,79,36,CB,82,74,31,115841
James Ward-Prowse,173,66,28,CAM,78,72,13,17
Ante Rebic,185,78,29,LW,93,75,31,47
Péter Gulácsi,191,86,33,GK,0,None,19,112172
Fabio Quagliarella,180,79,40,ST,87,82,31,1837
Sofyan Amrabat,185,70,26,CDM,78,80,31,110374
Kieran Trippier,173,71,32,RB,88,86,13,13
Sandro Tonali,181,79,23,CDM,85,75,31,47
Jordi Osei-Tutu,176,75,24,LM,92,77,19,160
Ryan Gravenberch,190,79,21,CM,84,79,19,21
Kevin-Prince Boateng,186,77,36,CB,75,86,19,166
Florian Wirtz,176,70,20,CAM,85,56,19,32
Allan Saint-Maximin,173,67,26,LW,93,81,13,13
Jonjoe Kenny,176,67,26,RB,91,88,19,166
Douglas Luiz,175,66,25,CDM,78,76,13,2
Alphonso Davies,185,77,22,LW,96,81,19,21
Olivier Giroud,192,93,36,ST,85,86,31,47
Serge Gnabry,176,77,27,RW,85,57,19,21
Benjamin Pavard,186,81,27,RB,81,93,19,21
Ivan Perišic,186,80,34,LW,87,95,13,18
Denzel Dumfries,188,80,27,RWB,86,94,31,44
Mario Götze,176,72,30,CAM,84,67,19,1824
Sami Al-Jaber,177,71,50,ST,90,80,13,114605
Hirving Lozano,175,70,27,RW,97,76,31,116365
Juan Cuadrado,179,72,35,RM,94,86,31,45
Moise Kean,182,72,23,ST,92,85,31,45
Ben White,185,77,25,CB,80,87,13,1
Christian Eriksen,181,76,31,CAM,77,52,13,11
Leander Dendoncker,189,88,28,CB,79,80,13,2
André Silva,185,84,27,ST,84,94,19,112172
Leandro Paredes,180,75,28,CDM,75,71,31,45
Palhinha,190,85,27,CDM,72,87,13,144
Joaquín Correa,189,75,28,CF,87,67,31,44
Andrej Kramaric,177,73,31,CF,85,82,19,10029
Serge Gnabry,176,77,27,RM,87,58,19,21
Arkadiusz Milik,186,80,29,ST,87,74,31,45
Jack Grealish,180,81,27,LW,85,37,13,10
Kyle Walker,183,83,33,RB,93,85,13,10
Bruno Guimarães,182,74,25,CM,78,70,13,13
Christian Pulisic,177,69,24,LW,92,87,13,5
Davinson Sánchez,187,81,26,CB,80,83,13,18
Lautaro Martínez,174,72,25,ST,84,90,31,44
Fred,169,62,30,LM,88,92,13,11
Federico Chiesa,175,70,25,RW,93,60,31,45
Patrik Schick,191,85,27,ST,82,78,19,32
Rafael Leão,188,81,23,LW,93,66,31,47
Nathan Aké,180,75,28,CB,81,94,13,10
Julian Brandt,185,83,27,CAM,82,76,19,22
Kalvin Phillips,178,72,27,CDM,75,80,13,10
Leonardo Bonucci,190,85,36,CB,78,94,31,45
Nicolò Barella,172,68,26,CM,80,79,31,44
Wojciech Szczesny,195,90,33,GK,0,None,31,45
Sergej Milinkovic-Savic,191,76,28,CM,70,88,31,115841
Kevin Trapp,189,84,32,GK,0,None,19,1824
Niklas Süle,195,99,27,CB,74,62,19,22
Ciro Immobile,185,85,33,ST,86,84,31,115841
Park Ji-sung,178,73,42,CAM,86,72,13,114605
Joe Cole,176,73,41,RW,88,79,13,114605
Yaya Touré,188,90,40,CDM,78,71,13,114605
Claudio Marchisio,180,74,37,CM,82,69,31,114605
Iván Córdoba,173,70,46,CB,86,94,31,114605
Tomas Brolin,176,0,53,ST,87,83,31,114605
Harry Kewell,180,74,44,LW,90,76,13,114605
Hidetoshi Nakata,175,0,46,CAM,85,64,13,114605
Kalidou Koulibaly,187,89,31,CB,82,82,13,5
Mike Maignan,191,89,27,GK,51,74,31,47
Hugo Lloris,188,82,36,GK,61,74,13,18
Trent Alexander-Arnold,180,69,24,RB,76,66,13,9
Andrew Robertson,178,64,29,LB,80,62,13,9
Fabinho,188,78,29,CDM,66,75,13,9
Thomas Müller,185,76,33,CAM,69,77,19,21
Leon Goretzka,189,82,28,CM,78,80,19,21
Rodrigo,191,82,26,CDM,58,72,13,10
David De Gea,192,76,32,GK,51,67,13,11
Mattias Svanberg,185,77,24,CM,87,74,19,175
Gabriel Jesus,175,73,26,ST,87,84,13,1
Michele Di Gregorio,187,81,25,GK,0,None,31,111811
John Stones,188,76,29,CB,76,88,13,10
Jesse Lingard,175,60,30,RW,88,71,13,14
Djibril Sow,184,76,26,CM,87,78,19,1824
Rade Krunic,184,74,29,CM,79,84,31,47
Piotr Zielinski,180,75,29,CM,85,55,31,116365
Joakim Mæhle,185,79,26,RWB,94,90,31,115845
Joakim Mæhle,185,79,26,RWB,94,90,31,115845
Emre Can,186,86,29,CM,84,96,19,22
Stefan Posch,189,82,26,RB,87,85,31,189
Adrien Rabiot,192,80,28,CM,82,79,31,45
Luis Díaz,180,73,26,LW,92,79,13,9
Dejan Kulusevski,186,75,23,RW,84,70,13,18
Oxlade-Chamberlain,175,70,29,CM,85,78,13,9
Junior Firpo,184,78,26,LB,89,83,13,8
Cristian Romero,185,79,25,CB,78,89,13,18
Riccardo Orsolini,183,73,26,RM,90,71,31,189
Antonio Candreva,180,70,36,CF,80,40,31,110373
Christopher Trimmel,189,82,36,RWB,87,66,19,1831
Yannick Gerhardt,184,81,29,CM,83,72,19,175
